news_id,Title,Link,Content,Category,Reporter,Date
1,"동운아나텍, 수익 견인한 'OIS'…글로벌 전장시장 공략 본격화",/news/articleView.html?idxno=626313,반도체 팹리스 기업 동운아나텍이 올해 주력인 손떨림방지 칩(OIS IC) 제품을 앞세워 매출 볼륨 회복에 나섰다. 내년 해외 자동차 전장시장의 본격적인 진출을 목표로 해외 지사 설립과 연구개발(R&D) 투자 등을 강화하고 있다. 신사업으로 속도를 내고 있는 헬스케어 부문에서도 연구인력을 늘리고 임상 신청 준비를 진행 중이다.13일 전자공시시스템에 따르면 동운아나텍은 올 3분기 누적 매출이 1073억원을 기록하며 지난해에 이어 연 매출 1000억원대를 유지했다. 이는 전년 동기와 비교해 35.6% 증가한 수치다. 지난해 헤일로 기술,테크기기,윤필호 기자,2024.11.13 13:29
2,"미국 MLS 선수에게 웨어러블 기기 입힌 '핏투게더', 97억원 투자 유치",/news/articleView.html?idxno=623755,"스포츠 테크기업 핏투게더가 97억원 규모 투자를 유치하고 미국·카타르 등 해외 시장 확장 발판을 마련했다. 핏투게더는 운동선수의 활동을 추적하고, 훈련 데이터를 수집·분석하는 '전자 성능 추적 시스템(EPTS)' 개발 기업이다.26일 핏투게더에 따르면 이번 투자는 우리벤처파트너스·스마일게이트인베스트먼트·KB인베스트먼트·KDB캐피탈·우리은행·중소기업진흥공단 등이 새로운 주주로 참여했다. 기존 주주인 해시드벤처스도 투자했다. 핏투게더는 이번 투자금을 활용해 제품·서비스 품질을 향상하고 해외 시장을 개척한다.앞서 핏투게더는 국제축구연맹(",테크기기,윤상은 기자,2024.09.26 15:43
3,건강 관리 강화한 삼성전자 갤럭시워치…부작용 우려하는 의료계,/news/articleView.html?idxno=619602,삼성전자가 갤럭시 플랫폼을 통해 실시간 건강관리 구현을 꿈꾸고 있다. 이에 의료전문가들은 아직 건강관리와 의료관리의 영역이 명확하지 않아 보건의료 시스템에 영향을 끼칠 수 있다는 우려를 제기한다. 24시간 건강관리 넘보는 삼성전자이번 갤럭시워치에서 가장 주목된 기능은 최종당화산물(AGEs) 측정이다. 삼성전자는 지난 10일(현지시간) 프랑스 파리에서 열린 언팩에서 갤럭시워치7과 웨어러블 신제품 2종(갤럭시워치울트라·갤럭시링)을 공개했다. 갤럭시워치에 탑재된 차세대 바이오액티브 센서에는 기존 적색·녹색·자외선 외에 황색·청색·자색·적,테크기기,안치영 기자,2024.07.19 06:00
4,"[다날의 자본거래]① 자회사 다날엔터, 두나무 매각 500억 차익…자금은 어디로?",/news/articleView.html?idxno=616769,통합 결제 비즈니스 전문기업 다날과 자회사 다날엔터테인먼트간 자본거래가 주주간 분쟁으로 비화될 조짐이다. 문제를 제기하는 측은 다날엔터테인먼트가 2022년 진행한 유상감자를 통해 기업가치 대비 큰 폭 웃도는 가격으로 다날에 자금을 지원해 줬다고 판단하고 있다.다날엔터테인먼트는 2012년 다날의 콘텐츠사업부문을 물적분할해 설립된 기업이다. 주요 사업영역은 모바일콘텐츠와 음원 제작·유통 사업이다. 현재 최대주주는 지분 83.23%를 보유하고 있는 다날이다. 가상화폐 열풍 덕 자본잠식 위기 벗어난 다날엔터다날과 다날엔터테인먼트간 자금 거,테크기기,유한새,2024.05.24 08:49
5,"캐논코리아, '노 재팬' 오명 벗고 미러리스로 재도약한다",/news/articleView.html?idxno=616696,"노 재팬(NO Japan, 일본제품 불매운동)' 영향으로 위축됐던 캐논코리아가 반등을 점치고 있다. 유튜버를 겨냥한 미러리스 마케팅에 집중하는 한편, 인공지능(AI)과 가상현실(VR)을 접목한 차별화된 제품을 선보이며 신시장 개척에도 나선다. 캐논코리아는 AI 멀티캠 영상편집시스템·VR 전용 렌즈로 방송·영상 시장을 공략하고 메디컬 시장에서도 점유율을 확보할 계획이다.캐논코리아는 22일 ‘제32회 국제 방송·미디어·음향·조명 전시회(KOBA2024)’가 열린 서울 강남구 코엑스에서 미디어 세미나를 열고 미러리스 주요 제품 및 신제",테크기기,윤아름 기자,2024.05.22 18:02
6,노크하고 장애물 피해 도로 달린다…똑똑한 로보티즈 '배송로봇'의 매력[로보인사이드]①,/news/articleView.html?idxno=611490,"로봇 기업의 혁신적인 아이디어와 리더십을 소개해 첨단 로봇산업이 미래로 향하는 길을 제시합니다. 산업의 변화를 주도하는 주요 기업들의 청사진을 직접 확인해 보세요.최근 공항, 음식점, 쇼핑몰에서는 안내와 서빙을 하는 로봇을 쉽게 만나볼 수 있다. 공상과학 영화에서 나오듯 로봇이 사람의 노동을 완전히 대체하는 시대가 오는 모습도 연상된다. 국내 로봇 개발·생산 기업인 로보티즈는 10년 내 로봇이 사람 숫자만큼 불어날 것이라고 보고 있다. 지난 26일 서울 강서구 마곡에 위치한 로보티즈 본사에 방문해 로봇 기술의 현재와 로보티즈의 미래",테크기기,윤아름 기자,2024.01.30 14:29
7,"에이피알, 2024년 글로벌 확장 첫 걸음은 'CES 2024'…'부스터 프로' 美 진출 주력",/news/articleView.html?idxno=610725,"뷰티테크 기업 에이피알이 세계 최대 규모 IT·가전 박람회 CES 2024에 첫 참가, 부스 운영을 마무리했다. 2023년 미국 시장에서 큰 성장세를 보인 이후 글로벌 시장에 선보인 K-뷰티테크다.에이피알은 지난 9일부터 12일까지 미국 라스베가스에서 열린 국제전자제품박람회 CES 2024에 부스를 마련하고 신제품 '부스터 프로'와 더마EMS, 유쎄라딥샷, ATS에어샷, 부스터힐러, 아이샷, 바디샷, 출시 예정인 신제품을 선보였다. 부스터 프로는 에이피알의 뷰티 브랜드 메디큐브의 뷰티 디바이스 제품으로, 2023년 10월 출시됐다.",테크기기,안신혜 기자,2024.01.14 20:00
8,"해고 칼바람 속, 생성형 AI 로봇을 CEO로 임명한 기업이 있다[퓨처클립]",/news/articleView.html?idxno=607061,생성형 AI(인공지능)가 확산되면서 일하는 방식도 변화하고 있습니다.최근 폴란드 기업 딕타도르(Dictador)는 생성형 AI로봇 '미카'를 최고경영자(CEO)로 임명했습니다. 앞으로 일자리의 미래가 어떻게 변화할지 가늠해 볼 수 있는 부분입니다. 자세한 내용은 의 [퓨처클립] 영상을 통해 확인하세요.,테크기기,박진화 기자,2023.10.06 15:06
9,"샤오미 로봇 반려견 '사이버독2', 주인 얼굴도 알아본다[퓨처클립]",/news/articleView.html?idxno=605890,중국의 IT(정보기술) 기업 샤오미가 로봇 반려견 '사이버 독2'를 출시했습니다.지난 2021년 현대자동차 산하 로봇 전문 기업 보스턴 다이내믹스의 '스팟'과 경쟁하기 위해 샤오미는 로봇개 사이버 독을 선보였습니다. 이번에 공개된 사이버 독2는 전작의 업그레이드 버전입니다. 회사는 사이버 독2의 디자인을 전작보다 사람에게 친숙한 모습으로 개선했습니다. 사이버 독2는 고성능 모터를 장착해 운동능력이 강화됐어요. 주인 얼굴을 식별하고 외부 산책 시 장애물도 스스로 피할 수도 있습니다. 자세한 내용은 의 [퓨처클립] 영상을 통해,테크기기,박진화 기자,2023.08.31 08:27
10,딱 접히는' 갤럭시 Z 폴드5…'드래그앤드롭'으로 노트앱에 사진 붙이기도 OK[블로터언팩],/news/articleView.html?idxno=605224,"삼성전자가 지난달 26일 갤럭시 언팩을 통해 공개한 ‘갤럭시 Z 폴드5(이하 폴드5)’는 외관이나 스펙이 전작과 큰 차이가 나진 않는다. 다만 지난 1주일간 사용해본 결과 세부적 부분에서 안정감을 높이고 기본기를 갖췄다는 느낌을 받았다.먼저 디자인 측면에서 폴드5는 폴드4와 큰 차이가 없었다. 다만 두께가 전작 대비 2mm 이상 얇아졌다. 무게도 전작 대비 10g 가량 줄어든 253g이다. 이로 인해 손에 쥐었을 때의 그립감이 좋아졌으며, 단지 10g의 차이만으로도 확연히 가벼워졌다는 느낌을 받았다. 유튜브나 OTT 등 장시간 시청",테크기기,김수민 기자,2023.08.10 16:49
